Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.temp_test_memory_inst.template_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.temp_test_memory_inst.test_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Loading rom.
blk_mem_gen_v8_4_3 collision detected at time: 1229550000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1229650000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1229750000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1229850000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1229950000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1230050000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1230150000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1230250000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1230350000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1230450000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1230550000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
Distance for case          0 :          0
blk_mem_gen_v8_4_3 collision detected at time: 106496450000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106496550000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106496650000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106496750000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106496850000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106496950000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106497050000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106497150000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106497250000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106497350000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106497450000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106497550000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106497650000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106497750000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
